taxon_name,total_bases,full_lineage,taxid_lineage,taxid
rhinovirus A88,7189,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus A;rhinovirus A88,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;147711;185939,185939
Hepatitis E virus,7176,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Hepelivirales;Hepeviridae;unclassified Hepeviridae;Hepatitis E virus,10239;2559587;2732396;2732406;2732461;2732543;3079366;1009842;291484,291484
rhinovirus C51,7154,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus C;rhinovirus C51,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;463676;2777131,2777131
rhinovirus B97,7151,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus B;rhinovirus B97,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;147712;167330,167330
rhinovirus A41,7144,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus A;rhinovirus A41,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;147711;185909,185909
rhinovirus A57,7134,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus A;rhinovirus A57,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;147711;185917,185917
rhinovirus A56,7122,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus A;rhinovirus A56,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;147711;185916,185916
rhinovirus A51,7116,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus A;rhinovirus A51,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;147711;185912,185912
rhinovirus C23,7087,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus C;rhinovirus C23,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;463676;2045067,2045067
rhinovirus C27,7083,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus C;rhinovirus C27,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;463676;2045070,2045070
