taxon_name,total_bases,full_lineage,taxid_lineage,taxid
Homo sapiens,12978924374,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo;Homo sapiens,131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314146;9443;376913;314293;9526;314295;9604;207598;9605;9606,9606
Nicotiana tabacum,3901734127,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Solanales;Solanaceae;Nicotianoideae;Nicotianeae;Nicotiana;Nicotiana tabacum,131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71274;91888;4069;4070;424554;424562;4085;4097,4097
Paragonimus westermani,922849782,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea;Plagiorchiida;Troglotremata;Troglotrematidae;Paragonimus;Paragonimus westermani,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6178;6179;27871;116925;34502;34503;34504,34504
Escherichia coli,574047957,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,131567;2;3379134;1224;1236;91347;543;561;562,562
Schistosoma japonicum,406576294,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea;Strigeidida;Schistosomatoidea;Schistosomatidae;Schistosoma;Schistosoma japonicum,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6178;6179;6180;31244;31245;6181;6182,6182
Schistosoma haematobium,400271889,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Trematoda;Digenea;Strigeidida;Schistosomatoidea;Schistosomatidae;Schistosoma;Schistosoma haematobium,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6178;6179;6180;31244;31245;6181;6185,6185
Ancylostoma duodenale,332875813,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Strongyloidea;Ancylostomatidae;Ancylostomatinae;Ancylostoma;Ancylostoma duodenale,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;2301116;2301119;27829;33278;53469;29169;51022,51022
Ascaris lumbricoides,295967828,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Ascaridomorpha;Ascaridoidea;Ascarididae;Ascaris;Ascaris lumbricoides,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;6274;6249;33256;6250;6251;6252,6252
Klebsiella pneumoniae,268679294,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;573,573
Necator americanus,234457255,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Strongyloidea;Ancylostomatidae;Bunostominae;Necator;Necator americanus,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;2301116;2301119;27829;33278;53477;51030;51031,51031
Staphylococcus aureus,188665820,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,131567;2;1783272;1239;91061;1385;90964;1279;1280,1280
Porphyromonas gingivalis,186421923,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas gingivalis,131567;2;3379134;1783270;68336;976;200643;171549;171551;836;837,837
Echinococcus multilocularis,114963228,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Cestoda;Eucestoda;Cyclophyllidea;Taeniidae;Echinococcus;Echinococcus multilocularis,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6199;6200;6201;6208;6209;6211,6211
Haemophilus haemolyticus,113197881,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus haemolyticus,131567;2;3379134;1224;1236;135625;712;724;726,726
Echinococcus granulosus,110837706,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Cestoda;Eucestoda;Cyclophyllidea;Taeniidae;Echinococcus;Echinococcus granulosus group;Echinococcus granulosus,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6157;6199;6200;6201;6208;6209;2212966;6210,6210
Klebsiella oxytoca,104205235,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella oxytoca,131567;2;3379134;1224;1236;91347;543;2890311;570;571,571
Salmonella enterica,101281735,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica,131567;2;3379134;1224;1236;91347;543;590;28901,28901
Leishmania donovani,99910120,cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosomatidae;Leishmaniinae;Leishmania;Leishmania;Leishmania donovani species complex;Leishmania donovani,131567;2759;2611352;33682;5653;2704647;2704949;5654;1286322;5658;38568;38574;5661,5661
Bacillus thuringiensis,92976719,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus thuringiensis,131567;2;1783272;1239;91061;1385;186817;1386;86661;1428,1428
Yersinia pseudotuberculosis,90622766,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia pseudotuberculosis complex;Yersinia pseudotuberculosis,131567;2;3379134;1224;1236;91347;1903411;629;1649845;633,633
Trypanosoma cruzi,89937456,cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosomatidae;Trypanosoma;Schizotrypanum;Trypanosoma cruzi,131567;2759;2611352;33682;5653;2704647;2704949;5654;5690;47570;5693,5693
Wuchereria bancrofti,88416250,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Wuchereria;Wuchereria bancrofti,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;6274;2072716;6295;6296;6292;6293,6293
Pseudomonas aeruginosa,82677196,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa,131567;2;3379134;1224;1236;72274;135621;286;136841;287,287
Bacteroides cellulosilyticus,78554086,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus,131567;2;3379134;1783270;68336;976;200643;171549;815;816;246787,246787
Bacteroides thetaiotaomicron,77010706,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,818
Bacillus anthracis,73487927,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus anthracis,131567;2;1783272;1239;91061;1385;186817;1386;86661;1392,1392
Burkholderia multivorans,72264596,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex;Burkholderia multivorans,131567;2;3379134;1224;28216;80840;119060;32008;87882;87883,87883
Citrobacter braakii,72064558,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii complex;Citrobacter braakii,131567;2;3379134;1224;1236;91347;543;544;1344959;57706,57706
Parabacteroides distasonis,71090996,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis,131567;2;3379134;1783270;68336;976;200643;171549;2005525;375288;823,823
Providencia stuartii,70993850,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;Providencia stuartii,131567;2;3379134;1224;1236;91347;1903414;586;588,588
Aspergillus niger,69782011,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus niger,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5052;2720871;5061,5061
Bacteroides fragilis,69525889,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,131567;2;3379134;1783270;68336;976;200643;171549;815;816;817,817
Klebsiella variicola,68580097,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella variicola,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;244366,244366
Burkholderia thailandensis,67458599,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group;Burkholderia thailandensis,131567;2;3379134;1224;28216;80840;119060;32008;111527;57975,57975
Acinetobacter baumannii,67145646,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii,131567;2;3379134;1224;1236;2887326;468;469;909768;470,470
Blastomyces dermatitidis ER-3,66608683,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Onygenales;Ajellomycetaceae;Blastomyces;Blastomyces dermatitidis;Blastomyces dermatitidis ER-3,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;33183;299071;229219;5039;559297,559297
Toxoplasma gondii ME49,65633124,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eucoccidiorida;Eimeriorina;Sarcocystidae;Toxoplasma;Toxoplasma gondii;Toxoplasma gondii ME49,131567;2759;2698737;33630;5794;1280412;5796;75739;423054;5809;5810;5811;508771,508771
Mucor racemosus B9645,65533039,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor racemosus;Mucor racemosus B9645,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;4830;4841;1357677,1357677
Clostridioides difficile,64567242,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile,131567;2;1783272;1239;186801;3082720;186804;1870884;1496,1496
Pseudomonas syringae,62378294,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas syringae group;Pseudomonas syringae group genomosp. 1;Pseudomonas syringae,131567;2;3379134;1224;1236;72274;135621;286;136849;251695;317,317
Agrobacterium pusense,62098622,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;Agrobacterium;Agrobacterium pusense,131567;2;3379134;1224;28211;356;82115;227290;357;648995,648995
Burkholderia cenocepacia,61139727,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex;Burkholderia cenocepacia,131567;2;3379134;1224;28216;80840;119060;32008;87882;95486,95486
Achromobacter xylosoxidans,60569573,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter xylosoxidans,131567;2;3379134;1224;28216;80840;506;222;85698,85698
Fusarium solani,59379714,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusarium solani species complex;Fusarium solani,131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5125;110618;5506;232080;169388,169388
Burkholderia oklahomensis,57396143,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group;Burkholderia oklahomensis,131567;2;3379134;1224;28216;80840;119060;32008;111527;342113,342113
Hafnia alvei,56373197,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Hafniaceae;Hafnia;Hafnia alvei,131567;2;3379134;1224;1236;91347;1903412;568;569,569
Phocaeicola dorei,56268569,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei,131567;2;3379134;1783270;68336;976;200643;171549;815;909656;357276,357276
Burkholderia plantarii,55861913,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia plantarii,131567;2;3379134;1224;28216;80840;119060;32008;41899,41899
Circinella minor,54179589,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Lichtheimiaceae;Circinella;Circinella minor,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;499202;101102;1195481,1195481
Candida parapsilosis,53157029,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Serinales;Debaryomycetaceae;Candida/Lodderomyces clade;Candida;Candida parapsilosis,131567;2759;33154;4751;451864;4890;716545;147537;3239874;2916678;766764;1535325;5475;5480,5480
Klebsiella quasipneumoniae subsp. similipneumoniae,52965995,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella quasipneumoniae;Klebsiella quasipneumoniae subsp. similipneumoniae,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;1463165;1463164,1463164
Acinetobacter lwoffii,52628124,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter lwoffii,131567;2;3379134;1224;1236;2887326;468;469;28090,28090
Bacillus cereus,52013173,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus cereus,131567;2;1783272;1239;91061;1385;186817;1386;86661;1396,1396
Rhizomucor pusillus,51020084,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Lichtheimiaceae;Rhizomucor;Rhizomucor pusillus,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;499202;4838;4840,4840
Fusarium oxysporum Fo47,50358849,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusarium oxysporum species complex;Fusarium oxysporum;Fusarium oxysporum Fo47,131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5125;110618;5506;171631;5507;660027,660027
Proteus vulgaris,49152614,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus vulgaris,131567;2;3379134;1224;1236;91347;1903414;583;585,585
Absidia glauca,48746359,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia;Absidia glauca,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;4851;4828;4829,4829
Mucor plumbeus,48371435,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor plumbeus,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;4830;97098,97098
Shigella flexneri,48053744,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri,131567;2;3379134;1224;1236;91347;543;620;623,623
Klebsiella aerogenes,47738785,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella aerogenes,131567;2;3379134;1224;1236;91347;543;2890311;570;548,548
Absidia repens,47422896,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia;Absidia repens,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;4851;4828;90262,90262
Rhizopus delemar RA 99-880,46148878,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Rhizopodaceae;Rhizopus;Rhizopus delemar;Rhizopus delemar RA 99-880,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;1344955;4842;936053;246409,246409
Aspergillus mulundensis,45341896,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Nidulantes;Aspergillus mulundensis,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5052;2720870;1810919,1810919
Cronobacter sakazakii,45339531,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter;Cronobacter sakazakii,131567;2;3379134;1224;1236;91347;543;413496;28141,28141
Strongyloides stercoralis,44372495,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Tylenchina;Panagrolaimomorpha;Strongyloidoidea;Strongyloididae;Strongyloides;Strongyloides stercoralis,131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;6300;2082223;2082224;6246;6247;6248,6248
Streptococcus thermophilus,44208294,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus thermophilus,131567;2;1783272;1239;91061;186826;1300;1301;1308,1308
Scedosporium apiospermum,43437139,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Microascales;Microascaceae;Scedosporium;Scedosporium apiospermum,131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5592;5593;41687;563466,563466
Rhizopus arrhizus,42900422,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Rhizopodaceae;Rhizopus;Rhizopus arrhizus,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;1344955;4842;64495,64495
Vibrio parahaemolyticus,41456556,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio harveyi group;Vibrio parahaemolyticus,131567;2;3379134;1224;1236;135623;641;662;717610;670,670
Staphylococcus hominis,40782501,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus hominis,131567;2;1783272;1239;91061;1385;90964;1279;1290,1290
Mucor ambiguus,40737472,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor ambiguus,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;4830;91626,91626
Streptomyces californicus,40473119,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces californicus,131567;2;1783272;201174;1760;85011;2062;1883;67351,67351
Aspergillus alliaceus,40168528,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus alliaceus,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5052;2720871;209559,209559
Aspergillus caelatus,40016351,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus caelatus,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5052;2720871;61420,61420
Mucor indicus B7402,39797221,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor indicus;Mucor indicus B7402,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;4830;64623;1357679,1357679
Apophysomyces variabilis,39322312,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Apophysomyces;Apophysomyces variabilis,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;90268;760013,760013
Mucor saturninus,39171786,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Mucor;Mucor saturninus,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;4830;64648,64648
Aspergillus pseudodeflectus,39072803,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Nidulantes;Aspergillus pseudodeflectus,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5052;2720870;176178,176178
Enterobacter hormaechei,39028823,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter hormaechei,131567;2;3379134;1224;1236;91347;543;547;354276;158836,158836
Rhizopus azygosporus,39022965,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Rhizopodaceae;Rhizopus;Rhizopus azygosporus,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;1344955;4842;86630,86630
Aspergillus melleus,38850827,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus melleus,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5052;2720871;138277,138277
Aspergillus tanneri,38719388,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus tanneri,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5052;2720871;1220188,1220188
Citrobacter koseri,38611123,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter koseri,131567;2;3379134;1224;1236;91347;543;544;545,545
Apophysomyces elegans B7760,38467560,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Mucoraceae;Apophysomyces;Apophysomyces elegans;Apophysomyces elegans B7760,131567;2759;33154;4751;112252;1913637;451507;2212703;4827;1344963;34489;90268;90269;1274791,1274791
Aspergillus pseudotamarii,38243929,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus pseudotamarii,131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451871;5042;1131492;5052;2720871;132259,132259
Porphyromonas endodontalis,38175525,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas endodontalis,131567;2;3379134;1783270;68336;976;200643;171549;171551;836;28124,28124
