taxid,contig_count,total_bp,Code,Name,Lineage,LineageTaxIDs,Rank,FullLineage,FullLineageTaxIDs,FullLineageRanks
43770.0,5,11527767,43770.0,Corynebacterium striatum,Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium striatum,2;201174;1760;85007;1653;1716;43770,species,cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium striatum,131567;2;1783272;201174;1760;85007;1653;1716;43770,no rank;superkingdom;clade;phylum;class;order;family;genus;species
291645.0,2,11357164,291645.0,Bacteroides nordii,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides nordii,2;976;200643;171549;815;816;291645,species,cellular organisms;Bacteria;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides nordii,131567;2;1783270;68336;976;200643;171549;815;816;291645,no rank;superkingdom;clade;clade;phylum;class;order;family;genus;species
1045010.0,5,11252366,1045010.0,Escherichia coli O157,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,2;1224;1236;91347;543;561;562,serogroup,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O157,131567;2;1224;1236;91347;543;561;562;1045010,no rank;superkingdom;phylum;class;order;family;genus;species;serogroup
1311.0,15,11237203,1311.0,Streptococcus agalactiae,Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus agalactiae,2;1239;91061;186826;1300;1301;1311,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus agalactiae,131567;2;1783272;1239;91061;186826;1300;1301;1311,no rank;superkingdom;clade;phylum;class;order;family;genus;species
246432.0,15,11162979,246432.0,Staphylococcus equorum,Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus equorum,2;1239;91061;1385;90964;1279;246432,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus equorum,131567;2;1783272;1239;91061;1385;90964;1279;246432,no rank;superkingdom;clade;phylum;class;order;family;genus;species
1314.0,10,11099580,1314.0,Streptococcus pyogenes,Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pyogenes,2;1239;91061;186826;1300;1301;1314,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pyogenes,131567;2;1783272;1239;91061;186826;1300;1301;1314,no rank;superkingdom;clade;phylum;class;order;family;genus;species
1334.0,10,10984369,1334.0,Streptococcus dysgalactiae,Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus dysgalactiae,2;1239;91061;186826;1300;1301;1334,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus dysgalactiae group;Streptococcus dysgalactiae,131567;2;1783272;1239;91061;186826;1300;1301;119603;1334,no rank;superkingdom;clade;phylum;class;order;family;genus;species group;species
1003335.0,9,10966467,1003335.0,Kluyveromyces marxianus DMKU3-1042,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces;Kluyveromyces marxianus,2759;4890;4891;4892;4893;4910;4911,strain,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces;Kluyveromyces marxianus;Kluyveromyces marxianus DMKU3-1042,131567;2759;33154;4751;451864;4890;716545;147537;4891;4892;4893;4910;4911;1003335,no rank;superkingdom;clade;kingdom;subkingdom;phylum;clade;subphylum;class;order;family;genus;species;strain
1038927.0,8,10943599,1038927.0,Escherichia coli O104:H4,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,2;1224;1236;91347;543;561;562,serotype,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O104:H4,131567;2;1224;1236;91347;543;561;562;1038927,no rank;superkingdom;phylum;class;order;family;genus;species;serotype
1463165.0,5,10907874,1463165.0,Klebsiella quasipneumoniae,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella quasipneumoniae,2;1224;1236;91347;543;570;1463165,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella quasipneumoniae,131567;2;1224;1236;91347;543;2890311;570;1463165,no rank;superkingdom;phylum;class;order;family;no rank;genus;species
1302.0,5,10883024,1302.0,Streptococcus gordonii,Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus gordonii,2;1239;91061;186826;1300;1301;1302,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus gordonii,131567;2;1783272;1239;91061;186826;1300;1301;1302,no rank;superkingdom;clade;phylum;class;order;family;genus;species
61647.0,4,10847639,61647.0,Pluralibacter gergoviae,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pluralibacter;Pluralibacter gergoviae,2;1224;1236;91347;543;1330546;61647,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pluralibacter;Pluralibacter gergoviae,131567;2;1224;1236;91347;543;1330546;61647,no rank;superkingdom;phylum;class;order;family;genus;species
4909.0,5,10812555,4909.0,Pichia kudriavzevii,Eukaryota;Ascomycota;Pichiomycetes;Pichiales;Pichiaceae;Pichia;Pichia kudriavzevii,2759;4890;3239874;3243775;1156497;4919;4909,species,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Pichiales;Pichiaceae;Pichia;Pichia kudriavzevii,131567;2759;33154;4751;451864;4890;716545;147537;3239874;3243775;1156497;4919;4909,no rank;superkingdom;clade;kingdom;subkingdom;phylum;clade;subphylum;class;order;family;genus;species
614.0,3,10801225,614.0,Serratia liquefaciens,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia liquefaciens,2;1224;1236;91347;1903411;613;614,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia liquefaciens,131567;2;1224;1236;91347;1903411;613;614,no rank;superkingdom;phylum;class;order;family;genus;species
1283.0,24,10762108,1283.0,Staphylococcus haemolyticus,Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus haemolyticus,2;1239;91061;1385;90964;1279;1283,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus haemolyticus,131567;2;1783272;1239;91061;1385;90964;1279;1283,no rank;superkingdom;clade;phylum;class;order;family;genus;species
1363.0,13,10734495,1363.0,Lactococcus garvieae,Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus garvieae,2;1239;91061;186826;1300;1357;1363,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus garvieae,131567;2;1783272;1239;91061;186826;1300;1357;1363,no rank;superkingdom;clade;phylum;class;order;family;genus;species
1397.0,5,10638997,1397.0,Niallia circulans,Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Niallia;Niallia circulans,2;1239;91061;1385;186817;2837506;1397,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Niallia;Niallia circulans,131567;2;1783272;1239;91061;1385;186817;2837506;1397,no rank;superkingdom;clade;phylum;class;order;family;genus;species
294746.0,9,10609954,294746.0,Meyerozyma guilliermondii ATCC 6260,Eukaryota;Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Meyerozyma;Meyerozyma guilliermondii,2759;4890;3239874;2916678;766764;766728;4929,strain,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Serinales;Debaryomycetaceae;Meyerozyma;Meyerozyma guilliermondii;Meyerozyma guilliermondii ATCC 6260,131567;2759;33154;4751;451864;4890;716545;147537;3239874;2916678;766764;766728;4929;294746,no rank;superkingdom;clade;kingdom;subkingdom;phylum;clade;subphylum;class;order;family;genus;species;strain
